"","X","Country","Year","Month","Day","flu_cases","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"29",29,"Argentina",2003,4,20,186,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"30",30,"Argentina",2003,3,16,134,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"31",31,"Argentina",2003,8,3,235,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"32",32,"Argentina",2003,11,2,184,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"33",33,"Argentina",2003,6,15,258,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"34",34,"Argentina",2003,12,14,109,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"35",35,"Argentina",2003,12,21,103,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"36",36,"Argentina",2003,4,27,209,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"37",37,"Argentina",2003,9,28,217,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"38",38,"Argentina",2003,10,12,174,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"39",39,"Argentina",2003,7,27,229,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"40",40,"Argentina",2003,6,29,348,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"41",41,"Argentina",2003,3,2,134,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"42",42,"Argentina",2003,7,20,239,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"43",43,"Argentina",2003,5,4,239,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"44",44,"Argentina",2003,11,30,123,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"45",45,"Argentina",2003,9,21,213,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"46",46,"Argentina",2003,7,13,307,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"47",47,"Argentina",2003,11,9,166,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"48",48,"Argentina",2003,7,6,325,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"49",49,"Argentina",2004,11,14,174,16,75,2.31,38728778,287258675094,"Americas","South America"
"50",50,"Argentina",2004,3,28,123,16,75,2.31,38728778,287258675094,"Americas","South America"
"51",51,"Argentina",2004,6,13,273,16,75,2.31,38728778,287258675094,"Americas","South America"
"52",52,"Argentina",2004,6,6,283,16,75,2.31,38728778,287258675094,"Americas","South America"
"53",53,"Argentina",2004,8,8,189,16,75,2.31,38728778,287258675094,"Americas","South America"
"54",54,"Argentina",2004,11,21,150,16,75,2.31,38728778,287258675094,"Americas","South America"
"55",55,"Argentina",2004,5,9,198,16,75,2.31,38728778,287258675094,"Americas","South America"
"56",56,"Argentina",2004,9,12,216,16,75,2.31,38728778,287258675094,"Americas","South America"
"57",57,"Argentina",2004,5,30,265,16,75,2.31,38728778,287258675094,"Americas","South America"
"58",58,"Argentina",2004,5,23,240,16,75,2.31,38728778,287258675094,"Americas","South America"
"59",59,"Argentina",2004,5,16,239,16,75,2.31,38728778,287258675094,"Americas","South America"
"60",60,"Argentina",2004,10,3,184,16,75,2.31,38728778,287258675094,"Americas","South America"
"61",61,"Argentina",2004,2,29,121,16,75,2.31,38728778,287258675094,"Americas","South America"
"62",62,"Argentina",2004,8,1,178,16,75,2.31,38728778,287258675094,"Americas","South America"
"63",63,"Argentina",2004,2,15,102,16,75,2.31,38728778,287258675094,"Americas","South America"
"64",64,"Argentina",2004,3,14,107,16,75,2.31,38728778,287258675094,"Americas","South America"
"65",65,"Argentina",2004,9,26,198,16,75,2.31,38728778,287258675094,"Americas","South America"
"66",66,"Argentina",2004,9,19,187,16,75,2.31,38728778,287258675094,"Americas","South America"
"67",67,"Argentina",2004,11,28,131,16,75,2.31,38728778,287258675094,"Americas","South America"
"68",68,"Argentina",2004,4,4,125,16,75,2.31,38728778,287258675094,"Americas","South America"
"69",69,"Argentina",2004,3,7,108,16,75,2.31,38728778,287258675094,"Americas","South America"
"70",70,"Argentina",2004,1,11,98,16,75,2.31,38728778,287258675094,"Americas","South America"
"71",71,"Argentina",2004,12,5,111,16,75,2.31,38728778,287258675094,"Americas","South America"
"72",72,"Argentina",2004,2,1,102,16,75,2.31,38728778,287258675094,"Americas","South America"
"73",73,"Argentina",2004,8,29,230,16,75,2.31,38728778,287258675094,"Americas","South America"
"74",74,"Argentina",2004,12,12,100,16,75,2.31,38728778,287258675094,"Americas","South America"
"75",75,"Argentina",2004,7,25,217,16,75,2.31,38728778,287258675094,"Americas","South America"
"76",76,"Argentina",2004,1,18,98,16,75,2.31,38728778,287258675094,"Americas","South America"
"77",77,"Argentina",2004,10,24,194,16,75,2.31,38728778,287258675094,"Americas","South America"
"78",78,"Argentina",2004,1,25,102,16,75,2.31,38728778,287258675094,"Americas","South America"
"79",79,"Argentina",2004,4,11,134,16,75,2.31,38728778,287258675094,"Americas","South America"
"80",80,"Argentina",2004,10,31,167,16,75,2.31,38728778,287258675094,"Americas","South America"
"81",81,"Argentina",2004,8,22,199,16,75,2.31,38728778,287258675094,"Americas","South America"
"82",82,"Argentina",2004,12,19,89,16,75,2.31,38728778,287258675094,"Americas","South America"
"83",83,"Argentina",2004,7,18,204,16,75,2.31,38728778,287258675094,"Americas","South America"
"84",84,"Argentina",2004,12,26,77,16,75,2.31,38728778,287258675094,"Americas","South America"
"85",85,"Argentina",2004,10,17,184,16,75,2.31,38728778,287258675094,"Americas","South America"
"86",86,"Argentina",2004,11,7,161,16,75,2.31,38728778,287258675094,"Americas","South America"
"87",87,"Argentina",2004,7,11,238,16,75,2.31,38728778,287258675094,"Americas","South America"
"88",88,"Argentina",2004,9,5,208,16,75,2.31,38728778,287258675094,"Americas","South America"
"89",89,"Argentina",2004,7,4,254,16,75,2.31,38728778,287258675094,"Americas","South America"
"90",90,"Argentina",2004,3,21,119,16,75,2.31,38728778,287258675094,"Americas","South America"
"91",91,"Argentina",2004,4,18,134,16,75,2.31,38728778,287258675094,"Americas","South America"
"92",92,"Argentina",2004,1,4,98,16,75,2.31,38728778,287258675094,"Americas","South America"
"93",93,"Argentina",2004,2,8,102,16,75,2.31,38728778,287258675094,"Americas","South America"
"94",94,"Argentina",2004,6,27,271,16,75,2.31,38728778,287258675094,"Americas","South America"
"95",95,"Argentina",2004,2,22,114,16,75,2.31,38728778,287258675094,"Americas","South America"
"96",96,"Argentina",2004,4,25,226,16,75,2.31,38728778,287258675094,"Americas","South America"
"97",97,"Argentina",2004,10,10,153,16,75,2.31,38728778,287258675094,"Americas","South America"
"98",98,"Argentina",2004,6,20,273,16,75,2.31,38728778,287258675094,"Americas","South America"
"99",99,"Argentina",2004,8,15,196,16,75,2.31,38728778,287258675094,"Americas","South America"
"100",100,"Argentina",2004,5,2,199,16,75,2.31,38728778,287258675094,"Americas","South America"
"101",101,"Argentina",2005,5,1,183,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"102",102,"Argentina",2005,7,3,273,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"103",103,"Argentina",2005,7,10,234,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"104",104,"Argentina",2005,7,17,237,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"105",105,"Argentina",2005,4,24,189,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"106",106,"Argentina",2005,7,24,227,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"107",107,"Argentina",2005,4,17,192,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"108",108,"Argentina",2005,7,31,210,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"109",109,"Argentina",2005,5,29,198,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"110",110,"Argentina",2005,4,10,162,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"111",111,"Argentina",2005,8,7,202,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"112",112,"Argentina",2005,8,14,208,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"113",113,"Argentina",2005,4,3,154,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"114",114,"Argentina",2005,8,21,234,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"115",115,"Argentina",2005,8,28,218,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"116",116,"Argentina",2005,3,27,145,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"117",117,"Argentina",2005,9,4,188,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"118",118,"Argentina",2005,3,20,137,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"119",119,"Argentina",2005,9,11,195,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"120",120,"Argentina",2005,9,18,194,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"121",121,"Argentina",2005,3,13,106,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"122",122,"Argentina",2005,6,5,196,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"123",123,"Argentina",2005,9,25,230,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"124",124,"Argentina",2005,3,6,97,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"125",125,"Argentina",2005,10,2,191,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"126",126,"Argentina",2005,5,8,199,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"127",127,"Argentina",2005,10,9,174,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"128",128,"Argentina",2005,2,27,101,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"129",129,"Argentina",2005,10,16,200,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"130",130,"Argentina",2005,5,22,205,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"131",131,"Argentina",2005,2,20,94,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"132",132,"Argentina",2005,10,23,165,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"133",133,"Argentina",2005,2,13,98,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"134",134,"Argentina",2005,10,30,169,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"135",135,"Argentina",2005,2,6,111,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"136",136,"Argentina",2005,11,6,162,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"137",137,"Argentina",2005,11,13,151,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"138",138,"Argentina",2005,1,30,94,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"139",139,"Argentina",2005,11,20,147,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"140",140,"Argentina",2005,11,27,133,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"141",141,"Argentina",2005,1,23,89,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"142",142,"Argentina",2005,12,4,112,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"143",143,"Argentina",2005,1,16,88,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"144",144,"Argentina",2005,12,11,99,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"145",145,"Argentina",2005,6,12,197,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"146",146,"Argentina",2005,1,9,82,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"147",147,"Argentina",2005,6,26,264,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"148",148,"Argentina",2005,12,18,94,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"149",149,"Argentina",2005,1,2,78,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"150",150,"Argentina",2005,12,25,82,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"151",151,"Argentina",2005,6,19,246,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"152",152,"Argentina",2005,5,15,193,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"153",153,"Argentina",2006,10,29,174,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"154",154,"Argentina",2006,5,28,207,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"155",155,"Argentina",2006,4,30,185,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"156",156,"Argentina",2006,3,19,121,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"157",157,"Argentina",2006,2,26,95,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"158",158,"Argentina",2006,1,22,83,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"159",159,"Argentina",2006,6,11,219,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"160",160,"Argentina",2006,8,6,238,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"161",161,"Argentina",2006,7,23,252,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"162",162,"Argentina",2006,10,1,200,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"163",163,"Argentina",2006,3,26,143,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"164",164,"Argentina",2006,11,19,165,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"165",165,"Argentina",2006,1,15,91,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"166",166,"Argentina",2006,7,2,232,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"167",167,"Argentina",2006,12,31,80,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"168",168,"Argentina",2006,8,27,271,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"169",169,"Argentina",2006,9,17,232,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"170",170,"Argentina",2006,3,12,120,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"171",171,"Argentina",2006,12,17,93,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"172",172,"Argentina",2006,1,8,85,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"173",173,"Argentina",2006,5,7,172,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"174",174,"Argentina",2006,11,12,180,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"175",175,"Argentina",2006,6,4,211,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"176",176,"Argentina",2006,1,1,87,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"177",177,"Argentina",2006,10,22,167,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"178",178,"Argentina",2006,5,14,183,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"179",179,"Argentina",2006,11,5,160,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"180",180,"Argentina",2006,9,10,234,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"181",181,"Argentina",2006,12,24,87,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"182",182,"Argentina",2006,2,12,90,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"183",183,"Argentina",2006,7,16,272,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"184",184,"Argentina",2006,8,13,228,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"185",185,"Argentina",2006,2,19,91,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"186",186,"Argentina",2006,7,30,215,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"187",187,"Argentina",2006,3,5,109,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"188",188,"Argentina",2006,4,23,166,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"189",189,"Argentina",2006,5,21,205,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"190",190,"Argentina",2006,10,8,191,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"191",191,"Argentina",2006,12,3,109,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"192",192,"Argentina",2006,4,16,152,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"193",193,"Argentina",2006,4,2,169,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"194",194,"Argentina",2006,9,3,234,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"195",195,"Argentina",2006,2,5,97,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"196",196,"Argentina",2006,6,25,243,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"197",197,"Argentina",2006,10,15,182,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"198",198,"Argentina",2006,9,24,227,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"199",199,"Argentina",2006,7,9,261,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"200",200,"Argentina",2006,8,20,250,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"201",201,"Argentina",2006,12,10,109,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"202",202,"Argentina",2006,6,18,223,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"203",203,"Argentina",2006,1,29,105,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"204",204,"Argentina",2006,4,9,130,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"205",205,"Argentina",2006,11,26,141,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"206",206,"Argentina",2007,4,22,180,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"207",207,"Argentina",2007,10,21,171,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"208",208,"Argentina",2007,9,30,180,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"209",209,"Argentina",2007,7,8,339,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"210",210,"Argentina",2007,3,18,125,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"211",211,"Argentina",2007,12,23,91,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"212",212,"Argentina",2007,1,28,106,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"213",213,"Argentina",2007,4,15,158,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"214",214,"Argentina",2007,7,29,285,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"215",215,"Argentina",2007,5,27,339,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"216",216,"Argentina",2007,3,11,118,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"217",217,"Argentina",2007,7,1,379,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"218",218,"Argentina",2007,11,4,165,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"219",219,"Argentina",2007,12,16,96,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"220",220,"Argentina",2007,9,16,175,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"221",221,"Argentina",2007,3,4,98,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"222",222,"Argentina",2007,8,5,293,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"223",223,"Argentina",2007,10,28,174,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"224",224,"Argentina",2007,9,2,239,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"225",225,"Argentina",2007,10,14,162,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"226",226,"Argentina",2007,2,25,102,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"227",227,"Argentina",2007,12,9,108,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"228",228,"Argentina",2007,4,29,182,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"229",229,"Argentina",2007,5,13,265,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"230",230,"Argentina",2007,6,24,372,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"231",231,"Argentina",2007,2,18,111,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"232",232,"Argentina",2007,6,10,373,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"233",233,"Argentina",2007,8,12,287,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"234",234,"Argentina",2007,1,21,100,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"235",235,"Argentina",2007,11,18,149,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"236",236,"Argentina",2007,9,23,191,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"237",237,"Argentina",2007,6,3,380,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"238",238,"Argentina",2007,5,6,219,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"239",239,"Argentina",2007,2,11,104,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"240",240,"Argentina",2007,12,2,123,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"241",241,"Argentina",2007,11,25,144,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"242",242,"Argentina",2007,11,11,152,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"243",243,"Argentina",2007,8,19,256,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"244",244,"Argentina",2007,9,9,188,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"245",245,"Argentina",2007,1,7,82,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"246",246,"Argentina",2007,2,4,108,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"247",247,"Argentina",2007,1,14,94,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"248",248,"Argentina",2007,4,1,129,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"249",249,"Argentina",2007,5,20,319,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"250",250,"Argentina",2007,12,30,78,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"251",251,"Argentina",2007,8,26,269,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"252",252,"Argentina",2007,7,15,379,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"253",253,"Argentina",2007,10,7,171,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"254",254,"Argentina",2007,6,17,344,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"255",255,"Argentina",2007,3,25,131,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"256",256,"Argentina",2007,4,8,138,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"257",257,"Argentina",2007,7,22,346,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"258",258,"Argentina",2008,9,28,179,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"259",259,"Argentina",2008,3,9,126,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"260",260,"Argentina",2008,1,27,89,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"261",261,"Argentina",2008,2,10,91,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"262",262,"Argentina",2008,10,5,182,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"263",263,"Argentina",2008,8,3,201,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"264",264,"Argentina",2008,3,16,151,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"265",265,"Argentina",2008,4,13,174,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"266",266,"Argentina",2008,2,24,98,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"267",267,"Argentina",2008,11,2,154,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"268",268,"Argentina",2008,4,27,173,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"269",269,"Argentina",2008,1,6,93,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"270",270,"Argentina",2008,6,8,343,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"271",271,"Argentina",2008,11,23,112,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"272",272,"Argentina",2008,8,17,210,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"273",273,"Argentina",2008,12,14,102,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"274",274,"Argentina",2008,1,20,93,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"275",275,"Argentina",2008,1,13,89,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"276",276,"Argentina",2008,8,10,220,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"277",277,"Argentina",2008,6,15,381,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"278",278,"Argentina",2008,2,17,97,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"279",279,"Argentina",2008,4,20,188,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"280",280,"Argentina",2008,3,23,145,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"281",281,"Argentina",2008,9,21,190,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"282",282,"Argentina",2008,10,19,162,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
