"","X","Country","Year","Month","Day","dengue_cases","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"51",51,"Argentina",2004,10,3,22,16,75,2.31,38728778,287258675094,"Americas","South America"
"52",52,"Argentina",2004,4,4,46,16,75,2.31,38728778,287258675094,"Americas","South America"
"53",53,"Argentina",2004,9,26,27,16,75,2.31,38728778,287258675094,"Americas","South America"
"54",54,"Argentina",2004,4,11,41,16,75,2.31,38728778,287258675094,"Americas","South America"
"55",55,"Argentina",2004,11,7,29,16,75,2.31,38728778,287258675094,"Americas","South America"
"56",56,"Argentina",2004,12,26,14,16,75,2.31,38728778,287258675094,"Americas","South America"
"57",57,"Argentina",2004,11,21,27,16,75,2.31,38728778,287258675094,"Americas","South America"
"58",58,"Argentina",2004,1,4,19,16,75,2.31,38728778,287258675094,"Americas","South America"
"59",59,"Argentina",2004,8,8,17,16,75,2.31,38728778,287258675094,"Americas","South America"
"60",60,"Argentina",2004,7,4,22,16,75,2.31,38728778,287258675094,"Americas","South America"
"61",61,"Argentina",2004,12,5,19,16,75,2.31,38728778,287258675094,"Americas","South America"
"62",62,"Argentina",2004,6,13,29,16,75,2.31,38728778,287258675094,"Americas","South America"
"63",63,"Argentina",2004,2,29,39,16,75,2.31,38728778,287258675094,"Americas","South America"
"64",64,"Argentina",2004,8,22,22,16,75,2.31,38728778,287258675094,"Americas","South America"
"65",65,"Argentina",2004,5,16,36,16,75,2.31,38728778,287258675094,"Americas","South America"
"66",66,"Argentina",2004,1,18,17,16,75,2.31,38728778,287258675094,"Americas","South America"
"67",67,"Argentina",2004,2,15,46,16,75,2.31,38728778,287258675094,"Americas","South America"
"68",68,"Argentina",2004,2,22,41,16,75,2.31,38728778,287258675094,"Americas","South America"
"69",69,"Argentina",2004,9,12,22,16,75,2.31,38728778,287258675094,"Americas","South America"
"70",70,"Argentina",2004,1,25,19,16,75,2.31,38728778,287258675094,"Americas","South America"
"71",71,"Argentina",2004,5,23,36,16,75,2.31,38728778,287258675094,"Americas","South America"
"72",72,"Argentina",2004,10,24,27,16,75,2.31,38728778,287258675094,"Americas","South America"
"73",73,"Argentina",2004,6,20,27,16,75,2.31,38728778,287258675094,"Americas","South America"
"74",74,"Argentina",2004,1,11,17,16,75,2.31,38728778,287258675094,"Americas","South America"
"75",75,"Argentina",2004,5,30,39,16,75,2.31,38728778,287258675094,"Americas","South America"
"76",76,"Argentina",2004,8,29,22,16,75,2.31,38728778,287258675094,"Americas","South America"
"77",77,"Argentina",2004,3,21,65,16,75,2.31,38728778,287258675094,"Americas","South America"
"78",78,"Argentina",2004,9,5,19,16,75,2.31,38728778,287258675094,"Americas","South America"
"79",79,"Argentina",2004,11,28,22,16,75,2.31,38728778,287258675094,"Americas","South America"
"80",80,"Argentina",2004,12,12,17,16,75,2.31,38728778,287258675094,"Americas","South America"
"81",81,"Argentina",2004,3,14,53,16,75,2.31,38728778,287258675094,"Americas","South America"
"82",82,"Argentina",2004,7,25,17,16,75,2.31,38728778,287258675094,"Americas","South America"
"83",83,"Argentina",2004,10,31,29,16,75,2.31,38728778,287258675094,"Americas","South America"
"84",84,"Argentina",2004,8,1,17,16,75,2.31,38728778,287258675094,"Americas","South America"
"85",85,"Argentina",2004,7,11,22,16,75,2.31,38728778,287258675094,"Americas","South America"
"86",86,"Argentina",2004,5,2,41,16,75,2.31,38728778,287258675094,"Americas","South America"
"87",87,"Argentina",2004,4,25,41,16,75,2.31,38728778,287258675094,"Americas","South America"
"88",88,"Argentina",2004,4,18,36,16,75,2.31,38728778,287258675094,"Americas","South America"
"89",89,"Argentina",2004,3,7,39,16,75,2.31,38728778,287258675094,"Americas","South America"
"90",90,"Argentina",2004,6,6,36,16,75,2.31,38728778,287258675094,"Americas","South America"
"91",91,"Argentina",2004,2,1,31,16,75,2.31,38728778,287258675094,"Americas","South America"
"92",92,"Argentina",2004,10,17,27,16,75,2.31,38728778,287258675094,"Americas","South America"
"93",93,"Argentina",2004,9,19,19,16,75,2.31,38728778,287258675094,"Americas","South America"
"94",94,"Argentina",2004,2,8,39,16,75,2.31,38728778,287258675094,"Americas","South America"
"95",95,"Argentina",2004,10,10,29,16,75,2.31,38728778,287258675094,"Americas","South America"
"96",96,"Argentina",2004,3,28,63,16,75,2.31,38728778,287258675094,"Americas","South America"
"97",97,"Argentina",2004,11,14,27,16,75,2.31,38728778,287258675094,"Americas","South America"
"98",98,"Argentina",2004,12,19,14,16,75,2.31,38728778,287258675094,"Americas","South America"
"99",99,"Argentina",2005,6,26,22,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"100",100,"Argentina",2005,11,6,34,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"101",101,"Argentina",2005,7,31,12,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"102",102,"Argentina",2005,10,9,14,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"103",103,"Argentina",2005,4,3,27,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"104",104,"Argentina",2005,10,30,36,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"105",105,"Argentina",2005,10,23,46,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"106",106,"Argentina",2005,2,27,12,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"107",107,"Argentina",2005,7,3,19,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"108",108,"Argentina",2005,4,17,22,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"109",109,"Argentina",2005,10,16,22,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"110",110,"Argentina",2005,9,4,29,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"111",111,"Argentina",2005,7,24,12,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"112",112,"Argentina",2005,5,8,24,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"113",113,"Argentina",2005,3,13,19,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"114",114,"Argentina",2005,9,11,22,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"115",115,"Argentina",2005,6,5,17,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"116",116,"Argentina",2005,1,23,1,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"117",117,"Argentina",2005,9,18,19,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"118",118,"Argentina",2005,1,16,12,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"119",119,"Argentina",2005,1,30,1,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"120",120,"Argentina",2005,6,12,22,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"121",121,"Argentina",2005,8,21,27,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"122",122,"Argentina",2005,7,17,14,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"123",123,"Argentina",2005,1,2,12,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"124",124,"Argentina",2005,8,14,24,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"125",125,"Argentina",2005,7,10,17,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"126",126,"Argentina",2005,5,15,22,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"127",127,"Argentina",2005,9,25,14,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"128",128,"Argentina",2005,3,20,24,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"129",129,"Argentina",2005,2,6,1,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"130",130,"Argentina",2005,3,27,31,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"131",131,"Argentina",2005,12,25,12,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"132",132,"Argentina",2005,6,19,22,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"133",133,"Argentina",2005,12,18,12,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"134",134,"Argentina",2005,1,9,12,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"135",135,"Argentina",2005,5,1,29,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"136",136,"Argentina",2005,8,7,19,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"137",137,"Argentina",2005,12,11,14,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"138",138,"Argentina",2005,4,24,24,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"139",139,"Argentina",2005,2,13,14,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"140",140,"Argentina",2005,3,6,14,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"141",141,"Argentina",2005,10,2,14,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"142",142,"Argentina",2005,12,4,17,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"143",143,"Argentina",2005,4,10,24,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"144",144,"Argentina",2005,11,27,19,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"145",145,"Argentina",2005,11,20,22,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"146",146,"Argentina",2005,5,29,19,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"147",147,"Argentina",2005,5,22,19,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"148",148,"Argentina",2005,8,28,29,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"149",149,"Argentina",2005,2,20,14,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"150",150,"Argentina",2005,11,13,29,15.3,75.3,2.29,39145491,313626005874,"Americas","South America"
"151",151,"Argentina",2006,2,26,19,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"152",152,"Argentina",2006,11,26,19,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"153",153,"Argentina",2006,7,16,14,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"154",154,"Argentina",2006,4,9,48,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"155",155,"Argentina",2006,3,26,24,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"156",156,"Argentina",2006,5,14,24,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"157",157,"Argentina",2006,4,2,34,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"158",158,"Argentina",2006,10,1,19,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"159",159,"Argentina",2006,11,19,19,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"160",160,"Argentina",2006,9,24,17,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"161",161,"Argentina",2006,5,21,24,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"162",162,"Argentina",2006,3,5,24,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"163",163,"Argentina",2006,4,30,29,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"164",164,"Argentina",2006,11,12,22,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"165",165,"Argentina",2006,11,5,22,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"166",166,"Argentina",2006,9,3,14,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"167",167,"Argentina",2006,8,20,12,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"168",168,"Argentina",2006,6,25,24,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"169",169,"Argentina",2006,4,23,34,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"170",170,"Argentina",2006,3,12,29,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"171",171,"Argentina",2006,6,11,24,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"172",172,"Argentina",2006,10,29,24,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"173",173,"Argentina",2006,5,28,22,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"174",174,"Argentina",2006,8,6,12,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"175",175,"Argentina",2006,7,30,1,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"176",176,"Argentina",2006,10,22,19,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"177",177,"Argentina",2006,1,22,1,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"178",178,"Argentina",2006,8,27,17,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"179",179,"Argentina",2006,7,9,14,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"180",180,"Argentina",2006,1,15,1,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"181",181,"Argentina",2006,6,4,27,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"182",182,"Argentina",2006,9,10,14,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"183",183,"Argentina",2006,3,19,22,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"184",184,"Argentina",2006,1,29,1,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"185",185,"Argentina",2006,1,8,1,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"186",186,"Argentina",2006,7,23,12,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"187",187,"Argentina",2006,2,5,12,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"188",188,"Argentina",2006,5,7,27,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"189",189,"Argentina",2006,10,15,17,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"190",190,"Argentina",2006,12,31,1,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"191",191,"Argentina",2006,9,17,17,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"192",192,"Argentina",2006,1,1,1,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"193",193,"Argentina",2006,2,12,12,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"194",194,"Argentina",2006,7,2,19,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"195",195,"Argentina",2006,12,24,1,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"196",196,"Argentina",2006,12,17,1,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"197",197,"Argentina",2006,8,13,12,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"198",198,"Argentina",2006,10,8,17,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"199",199,"Argentina",2006,6,18,22,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"200",200,"Argentina",2006,2,19,17,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"201",201,"Argentina",2006,4,16,41,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"202",202,"Argentina",2006,12,10,12,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"203",203,"Argentina",2006,12,3,14,14.6,75.3,2.27,39558750,340177780212,"Americas","South America"
"204",204,"Argentina",2007,12,9,19,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"205",205,"Argentina",2007,12,16,14,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"206",206,"Argentina",2007,12,23,14,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"207",207,"Argentina",2007,12,30,14,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"208",208,"Argentina",2007,1,7,1,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"209",209,"Argentina",2007,1,14,14,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"210",210,"Argentina",2007,1,21,31,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"211",211,"Argentina",2007,1,28,77,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"212",212,"Argentina",2007,2,4,96,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"213",213,"Argentina",2007,2,11,84,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"214",214,"Argentina",2007,2,18,92,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"215",215,"Argentina",2007,2,25,195,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"216",216,"Argentina",2007,3,4,407,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"217",217,"Argentina",2007,3,11,694,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"218",218,"Argentina",2007,3,18,933,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"219",219,"Argentina",2007,3,25,561,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"220",220,"Argentina",2007,4,1,301,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"221",221,"Argentina",2007,4,8,316,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"222",222,"Argentina",2007,4,15,325,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"223",223,"Argentina",2007,4,22,207,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"224",224,"Argentina",2007,4,29,128,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"225",225,"Argentina",2007,5,6,104,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"226",226,"Argentina",2007,5,13,7,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"227",227,"Argentina",2007,5,20,53,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"228",228,"Argentina",2007,5,27,55,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"229",229,"Argentina",2007,6,3,51,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"230",230,"Argentina",2007,6,10,53,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"231",231,"Argentina",2007,6,17,43,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"232",232,"Argentina",2007,6,24,39,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"233",233,"Argentina",2007,7,1,24,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"234",234,"Argentina",2007,7,8,19,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"235",235,"Argentina",2007,7,15,19,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"236",236,"Argentina",2007,7,22,19,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"237",237,"Argentina",2007,7,29,17,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"238",238,"Argentina",2007,8,5,17,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"239",239,"Argentina",2007,8,12,19,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"240",240,"Argentina",2007,8,19,17,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"241",241,"Argentina",2007,8,26,22,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"242",242,"Argentina",2007,9,2,22,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"243",243,"Argentina",2007,9,9,19,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"244",244,"Argentina",2007,9,16,17,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"245",245,"Argentina",2007,9,23,34,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"246",246,"Argentina",2007,9,30,36,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"247",247,"Argentina",2007,10,7,29,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"248",248,"Argentina",2007,10,14,24,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"249",249,"Argentina",2007,10,21,34,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"250",250,"Argentina",2007,10,28,41,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"251",251,"Argentina",2007,11,4,31,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"252",252,"Argentina",2007,11,11,34,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"253",253,"Argentina",2007,11,18,27,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"254",254,"Argentina",2007,11,25,24,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"255",255,"Argentina",2007,12,2,24,14.1,75.2,2.25,39969903,369614509411,"Americas","South America"
"256",256,"Argentina",2008,11,16,31,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"257",257,"Argentina",2008,5,18,34,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"258",258,"Argentina",2008,1,27,14,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"259",259,"Argentina",2008,5,25,24,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"260",260,"Argentina",2008,6,1,22,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"261",261,"Argentina",2008,6,8,17,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"262",262,"Argentina",2008,8,3,12,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"263",263,"Argentina",2008,3,30,7,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"264",264,"Argentina",2008,11,9,31,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"265",265,"Argentina",2008,8,24,14,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"266",266,"Argentina",2008,8,31,17,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"267",267,"Argentina",2008,12,28,14,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"268",268,"Argentina",2008,12,14,12,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"269",269,"Argentina",2008,6,15,14,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"270",270,"Argentina",2008,10,19,14,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"271",271,"Argentina",2008,3,2,58,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"272",272,"Argentina",2008,3,23,75,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"273",273,"Argentina",2008,8,17,12,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"274",274,"Argentina",2008,6,22,14,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"275",275,"Argentina",2008,9,14,12,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"276",276,"Argentina",2008,11,2,29,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"277",277,"Argentina",2008,10,12,14,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"278",278,"Argentina",2008,6,29,14,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"279",279,"Argentina",2008,7,6,14,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"280",280,"Argentina",2008,1,20,17,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"281",281,"Argentina",2008,10,5,17,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
"282",282,"Argentina",2008,12,21,14,13.7,75.4,2.24,40381860,394594682115,"Americas","South America"
